run_name,run_dir,mat_file,cfg_name,freq_mode,time_mode,useFW,nfeatures,feature_idx,final_train_loss,complex_nrse,complex_mae,mean_abs_dphi,mag_mae
A30_freqRaw-phaseTrig__PT__FW1_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A30_freqRaw-phaseTrig__PT__FW1_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A30_freqRaw-phaseTrig__PT__FW1_F17/A30_freqRaw-phaseTrig__PT__FW1_F17_final.mat,freqRaw+phaseTrig__PT__FW1,freqRaw+phaseTrig,PT,1,17,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 22],0.30104324221611,0.004641121,0.0001291258,0.002702738,9.974939e-05
A02_freqRaw__PT__FW1_F13,MIMOSA_featAbl_loss1_tau0p01_v1/A02_freqRaw__PT__FW1_F13,MIMOSA_featAbl_loss1_tau0p01_v1/A02_freqRaw__PT__FW1_F13/A02_freqRaw__PT__FW1_F13_final.mat,freqRaw__PT__FW1,freqRaw,PT,1,13,[1 2 3 4 5 6 7 8 9 10 11 16 22],0.301199585199356,0.004805854,0.0001428092,0.004972448,6.075608e-05
A17_phaseTrig__prepOH__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A17_phaseTrig__prepOH__FW0_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A17_phaseTrig__prepOH__FW0_F17/A17_phaseTrig__prepOH__FW0_F17_final.mat,phaseTrig__prepOH__FW0,phaseTrig,prepOH,0,17,[1 2 3 4 5 6 7 8 9 12 13 14 15 17 18 19 20],0.301031053066254,0.004825149,0.0001403535,0.002336151,0.0001236337
A21_phaseTrig__t_acq__FW0_F14,MIMOSA_featAbl_loss1_tau0p01_v1/A21_phaseTrig__t_acq__FW0_F14,MIMOSA_featAbl_loss1_tau0p01_v1/A21_phaseTrig__t_acq__FW0_F14/A21_phaseTrig__t_acq__FW0_F14_final.mat,phaseTrig__t_acq__FW0,phaseTrig,t_acq,0,14,[1 2 3 4 5 6 7 8 9 12 13 14 15 21],0.301428645849228,0.005242896,0.000142611,0.00325524,0.0001042554
A07_freqRaw__t_acq__FW0_F12,MIMOSA_featAbl_loss1_tau0p01_v1/A07_freqRaw__t_acq__FW0_F12,MIMOSA_featAbl_loss1_tau0p01_v1/A07_freqRaw__t_acq__FW0_F12/A07_freqRaw__t_acq__FW0_F12_final.mat,freqRaw__t_acq__FW0,freqRaw,t_acq,0,12,[1 2 3 4 5 6 7 8 9 10 11 21],0.305114984512329,0.05115219,0.0009440038,0.02802712,0.0003964798
A12_freqRaw__prepOH-t_acq__FW1_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A12_freqRaw__prepOH-t_acq__FW1_F17,MIMOSA_featAbl_loss1_tau0p01_v1/A12_freqRaw__prepOH-t_acq__FW1_F17/A12_freqRaw__prepOH-t_acq__FW1_F17_final.mat,freqRaw__prepOH+t_acq__FW1,freqRaw,prepOH+t_acq,1,17,[1 2 3 4 5 6 7 8 9 10 11 17 18 19 20 21 22],0.3049336373806,0.05280018,0.0009025626,0.02511316,0.0003861627
A08_freqRaw__t_acq__FW1_F13,MIMOSA_featAbl_loss1_tau0p01_v1/A08_freqRaw__t_acq__FW1_F13,MIMOSA_featAbl_loss1_tau0p01_v1/A08_freqRaw__t_acq__FW1_F13/A08_freqRaw__t_acq__FW1_F13_final.mat,freqRaw__t_acq__FW1,freqRaw,t_acq,1,13,[1 2 3 4 5 6 7 8 9 10 11 21 22],0.305144518613815,0.0544197,0.0009467401,0.02662064,0.0004064917
A11_freqRaw__prepOH-t_acq__FW0_F16,MIMOSA_featAbl_loss1_tau0p01_v1/A11_freqRaw__prepOH-t_acq__FW0_F16,MIMOSA_featAbl_loss1_tau0p01_v1/A11_freqRaw__prepOH-t_acq__FW0_F16/A11_freqRaw__prepOH-t_acq__FW0_F16_final.mat,freqRaw__prepOH+t_acq__FW0,freqRaw,prepOH+t_acq,0,16,[1 2 3 4 5 6 7 8 9 10 11 17 18 19 20 21],0.305273741483688,0.05549422,0.0009580843,0.02742199,0.0004071625
A03_freqRaw__prepOH__FW0_F15,MIMOSA_featAbl_loss1_tau0p01_v1/A03_freqRaw__prepOH__FW0_F15,MIMOSA_featAbl_loss1_tau0p01_v1/A03_freqRaw__prepOH__FW0_F15/A03_freqRaw__prepOH__FW0_F15_final.mat,freqRaw__prepOH__FW0,freqRaw,prepOH,0,15,[1 2 3 4 5 6 7 8 9 10 11 17 18 19 20],0.305337727069855,0.05767348,0.0009328513,0.0259862,0.0003910407
A04_freqRaw__prepOH__FW1_F16,MIMOSA_featAbl_loss1_tau0p01_v1/A04_freqRaw__prepOH__FW1_F16,MIMOSA_featAbl_loss1_tau0p01_v1/A04_freqRaw__prepOH__FW1_F16/A04_freqRaw__prepOH__FW1_F16_final.mat,freqRaw__prepOH__FW1,freqRaw,prepOH,1,16,[1 2 3 4 5 6 7 8 9 10 11 17 18 19 20 22],0.305296182632446,0.05817041,0.0009421557,0.02602973,0.0004018557
